logFC logCPM PValue FDR
wasabi 5.69152701225545 13.8982904684654 9.88151386709096e-24 5.65533155061997e-21
rhubarb 5.80853376160136 11.630046559755 1.80169908751523e-23 1.0024954006116e-20
pomegranate 5.716372042231 7.35669291297345 3.47423962187748e-23 1.88087821258994e-20
grapefruit 5.69728993110717 8.95102230099486 1.04775932245509e-22 5.52307026002576e-20
onion 5.60335711563655 9.33904787854613 1.5286334943953e-22 7.85129680159803e-20
mushroom 5.64741656444718 7.88739110055772 3.80057495038536e-22 1.90323292077923e-19
clementine 5.65914231483976 9.9173928517217 6.21433181422138e-22 3.03608001391874e-19
tomato 5.47886024232724 9.31343048121219 3.74547659093977e-21 1.78632479983606e-18
chard 5.39834872994009 10.3514589423426 5.0909484626047e-21 2.37155322452174e-18
avocado 5.24418623860878 10.755619223337 8.76669846473822e-21 3.99103947607207e-18
banana 5.29671608898035 9.47478056108266 1.79531933335624e-20 7.99156479254642e-18
kohlrabi 5.18209641023607 9.80768062414884 2.01146088656188e-19 8.75903761276545e-17
asparagus 4.98025258364624 8.35636354274526 2.9163371727539e-19 1.24291808313688e-16
raspberry 5.04152412254845 8.29822660594329 1.09444405139464e-18 4.56725183197624e-16
eggplant 4.74643611817912 10.3142674997183 6.56107437587675e-18 2.682140424963e-15
parsnip 4.7249937548114 9.07404300845117 6.1694609588318e-17 2.47160944932719e-14
GRAMD4 -2.33731977617209 4.35122114577211 2.25337573351563e-06 0.000885046457216699
E4F1 -2.69424637037686 -1.32873970668528 7.00818670578017e-06 0.00269963438275928
FAM179A -2.22177707158723 6.87976006351753 7.78591409245949e-06 0.00294263481483125
MED12 -2.17591738832153 2.66591835153662 1.28294671394144e-05 0.00475901956054832
FOXP1 -2.11648413575407 5.83627152231603 1.4534608904004e-05 0.00529350456283826
NDUFB7 -2.1078314969751 6.13937633861298 2.10788733237496e-05 0.00753983770621481
TMEM30A -2.10605626319274 3.95381948497772 2.32711386428512e-05 0.00817796803780617
RGS5 -2.1042395432698 5.98202710296521 2.69379869772314e-05 0.00930335891622279
HMGCL -2.06576850702197 5.8595773996208 2.74861498657369e-05 0.00933178081289113
IRX2 -2.09086213350217 3.46280217298962 2.80980568270341e-05 0.00938053627170534
CNKSR1 -2.03741217439953 5.12449239841638 4.52510577810589e-05 0.0148594088264326
ACO2 -1.95813814521678 7.07167132662494 7.94361817003482e-05 0.0255219191553175
ANKRD11 -1.92419108886983 4.20621146592082 8.02696274167542e-05 0.0255219191553175
MAML1 -1.94550205663834 3.17885192754953 8.46547305743089e-05 0.0264956079395934
PGK1 -1.92888232609257 3.27099244861586 8.6554517587154e-05 0.0266734391044351
DTNBP1 -1.90875529111281 6.05528743423937 8.85830940882317e-05 0.0268849690557783
AC018638.1 -1.94034241680096 5.15829280374046 0.00010953593550943 0.0327479749879014
RASGRP4 -1.9214405989621 3.64322602296384 0.000121858299931787 0.035896229499024
ANGPTL5 -1.90127071744911 4.75476660478454 0.000127259968656068 0.0369441222050681
VSTM5 -1.91355638411849 3.6602631279793 0.000129121132702238 0.0369489344165505
ABCA5 -1.86378565796639 5.29529200555044 0.000154145531735952 0.0434885795239839
SRF -1.92624336527613 3.41319402419245 0.000162249298183134 0.0451391068320328
MBLAC1 -1.85019534294674 2.48801664993127 0.00016691915640066 0.0458021592035839
CTD-3105H18.14 -1.82623509657158 5.44901679402787 0.000178753356204132 0.0483866010557429
C16orf91 -1.90108588546687 4.478793442553 0.000185856463297256 0.0496385442174311
ICE2 -1.83139349651611 6.4696330090685 0.000192387662283389 0.0507068060947179
DPY19L1 -1.85115746992523 7.09058501535727 0.000202273083688657 0.0519914533934778
TRANK1 -2.06697787154028 -1.06920783642792 0.000205020686534676 0.0519914533934778
OR56A3 -1.83424176664445 6.54624792367097 0.000205627265345574 0.0519914533934778
ORAI2 -1.86002209781335 4.04652188034596 0.000207643965427499 0.0519914533934778
POLR2D -1.79021244676306 4.11910264411961 0.000212999924121319 0.0526740923465944
MMRN2 -1.79465889809217 5.5236899800772 0.000220048063590101 0.0537534483143087
GP1BA -1.80815217301562 4.2849578007855 0.000227332255649466 0.0548637640110176
TRIM40 -1.78531228008401 3.87103501221161 0.000232278576027726 0.0553901447191831
FAM71F1 -1.83107455536121 5.86295849193365 0.000246564737355431 0.0581051559290193
LRRK2 -1.82816696893347 5.87740004969463 0.000255559819425109 0.0595246365453996
NAA60 -1.77922834379579 5.19566939103338 0.000285855670934798 0.0654978927372585
C2orf42 -1.85808811394025 5.0336741493632 0.000287744723722168 0.0654978927372585
KIAA0100 -1.71735346982807 5.57203669321768 0.000342319164340213 0.0770448896730204
SEBOX -1.80146291580631 0.627033660513277 0.000346193311779722 0.0770510914251067
IFI44L -1.79647412489574 1.29148818718525 0.000368942831413505 0.081212020396087
PHTF1 -1.71253201499701 5.85178920575485 0.000378359263363885 0.0823795043961084
IL17RE -1.73118123686019 5.35617704928119 0.000390392035868725 0.0840854072095314
FUCA1 -1.69792910127124 5.51938705859676 0.000398541721993027 0.0849275450344928
SPPL2B -1.69630688576126 6.19828548364474 0.000404925244498524 0.0853795533952626
PTPRF -1.7656167380885 5.79856251032861 0.000439478904061974 0.0897472839790742
ITGB5 -1.71456341772097 5.7234067504857 0.00044107717501321 0.0897472839790742
OR2AT4 -1.67697815691316 5.72510319124097 0.00044615144173497 0.0897472839790742
SATB1 -1.69757094533583 4.94532105852508 0.000447169345737243 0.0897472839790742
ZNF835 -1.70619055577629 7.5830033516654 0.00044804195486533 0.0897472839790742
DDX31 -1.72571624117682 3.98620324268782 0.0004554872957981 0.0903353071498193
ZNF425 -1.69506872469159 6.64754137028029 0.000464646678505214 0.0912484080111563
CARD11 -1.71082861676569 5.73796252560544 0.000469516063759726 0.0913094783803016
PIGF -1.65993115601397 5.6615572855337 0.000556457808396374 0.107176984230652
CHCHD2 -1.65530839649455 5.54726467557577 0.000589241422493549 0.112125002430135
H2AFY -1.66883864150837 4.90608871396156 0.000593342831490906 0.112125002430135
SPDYA -1.67654732681845 7.74082856253721 0.000602798580547299 0.112847274457411
KIRREL -1.67773249916423 6.36169521148704 0.00061621173170405 0.114290159238554
DEFB127 -1.65714114569485 5.74700558503694 0.000635285086666961 0.116220962564142
AGER -1.64439282054831 5.10136443251136 0.000638226043734993 0.116220962564142
DKKL1 -1.72812713657588 4.606479902648 0.000652060893253417 0.117164870888044
TFF1 -1.6896982672118 6.28042003758245 0.000655107859790372 0.117164870888044
SPARC -1.73055656038297 1.76483704323806 0.000675755464025133 0.118591792835754
BBX -1.66746264021939 4.12443315175111 0.000683992356584517 0.118591792835754
MSANTD4 1.66276778163631 5.50723502511602 0.00068509432019574 0.118591792835754
SCAMP3 -1.64631400867848 5.87030041334089 0.00068676790818968 0.118591792835754
RP1-66C13.4 -1.70281145833533 4.69495722803904 0.000709805570042116 0.121522353619775
TFPI2 -1.69331018876926 1.48250137890685 0.000720231314424313 0.122180976337888
TSPAN4 -1.71518397104778 3.32457640646234 0.000725851739014959 0.122180976337888
STRN -1.65040761245783 1.8729698913965 0.000741114270014403 0.123710499522154
EFCC1 -2.12519377084805 -2.09301317457095 0.000747696986238454 0.123777837449111
PSME4 -1.61926833594147 6.54772380798723 0.000761304830700466 0.124997516916074
C9orf131 -1.66374832444985 2.8321951035919 0.000775265779760794 0.126254868572264
DCLK1 -1.6365100841442 4.77394335502289 0.000791169289107329 0.127805742178298
RRP7A -1.64016366661443 5.75608110102738 0.000807877603524241 0.128495837875382
LRRC8A -1.62137278724139 6.22506581024466 0.00080827095862903 0.128495837875382
RP11-231C14.4 -1.63990117160052 6.33914913807398 0.000816608129531214 0.128799034981415
ABHD13 -1.61884085092363 6.52694894407112 0.000882999706056859 0.137882433070897
CLINT1 -1.65389740174337 5.7948713855899 0.000888998823540294 0.137882433070897
ACAD8 -1.63513953754316 2.01283748950958 0.000894848799321883 0.137882433070897
ABCB11 -1.66968239409081 2.14544348943932 0.000925829374792495 0.140620783509273
ADAMTS10 -1.60450873338077 3.35489185766549 0.00092815415419552 0.140620783509273
ARPC2 -1.58375455298837 6.73366930078738 0.000933681004779259 0.140620783509273
OR1J1 -1.64953121244386 4.58501552923134 0.000947445998918159 0.141629035853206
LMNTD1 -1.58380772970863 6.56450538754107 0.000988570351851219 0.14668187198468
THAP4 -1.58425245988267 5.49699274214009 0.00102940763916067 0.151618120735495
ARHGAP19-SLIT1 -1.68217920979109 0.656015690187825 0.00107938455891136 0.157818628463894
TCHP -1.58192736591333 7.70579011069178 0.00108735709335553 0.157832245920324
ADGRL4 -1.57591739172648 3.43989476288021 0.00109769991710459 0.15815415473987
AC110602.1 -1.56252068173245 7.16497659753072 0.00110536576624142 0.15815415473987
TCP10L -1.56623836404346 5.79376633173857 0.00111396998210115 0.158254841925305
C15orf53 -1.5609263420885 5.05725550751865 0.00113632371708931 0.160293664626873
C5orf24 -1.55392166948524 6.36614983208334 0.00114544391374432 0.160450258994492
ABHD14B -1.54933844202493 5.38850767624018 0.00120033229809861 0.165413529018757
ABHD12B -1.54085116110661 5.25611535503122 0.00120466594809778 0.165413529018757
RBM14 -1.54793966077679 6.46156988789621 0.00122006073751311 0.165413529018757
LINS1 -1.57659623452797 4.40484497612772 0.00122202487835869 0.165413529018757
ADCYAP1R1 -1.55547444963501 4.9699477982878 0.00122518652226491 0.165413529018757
pumpkin -1.53916123171254 5.26380064448459 0.00123164749987267 0.165413529018757
PELI1 -1.55422636879966 6.2269278144758 0.00124841579884206 0.165413529018757
GPC5 -1.58438561255001 5.20560491832158 0.00125161388910747 0.165413529018757
UBXN6 -1.54275941149513 7.00482794470629 0.00125519726478214 0.165413529018757
TSPAN31 -1.56921379176842 4.42588796875145 0.00127608675784356 0.167067280041597
ABCD1 -1.55216147670218 3.84207865074142 0.00137575510203641 0.176986961705708
CAPN6 -1.55888323221856 4.80313294307276 0.00138011565608553 0.176986961705708
CBLN2 -1.5604929424214 2.20513482681516 0.00138237880625147 0.176986961705708
LRRC32 -1.60271524904599 2.94874547377602 0.00138719749327523 0.176986961705708
SLC35F1 -1.56167930525328 3.9890222742438 0.00140688747137713 0.177606004084032
AL590235.1 -1.52984277592583 6.07373545915633 0.00140978256948535 0.177606004084032
IL22 -1.53030016065756 6.07169695359186 0.0014280328617472 0.178780789085364
HYAL2 -1.54202693060234 6.87231455161682 0.00143883623000452 0.179014462877147
TBX19 -1.53481545994949 4.68446365378069 0.00147999010005869 0.182998035149849
RPGRIP1 -1.53282965400323 6.1975482136794 0.00151997434954154 0.186788995065439
APOC3 -1.52756804626806 5.90520789902297 0.00154606704319341 0.188837005745166
LRRC2 -1.54086430319733 4.3307534693012 0.0015630336374216 0.189752283582982
RP11-318A15.7 -1.55871483658239 2.49033875480878 0.00157536773401768 0.190097536627158
LMTK3 -1.53967165302334 5.01694293640715 0.00161035643270277 0.193155986248318
FAM46A -1.55799014177203 1.77113290817845 0.00162601847777939 0.193873667430946
C5orf42 -1.50255321905175 5.49594200662009 0.00164760566649146 0.195165244573404
KCNQ5 -1.50913589775792 5.7330877454398 0.00165633725612693 0.195165244573404
LRRC4 -1.53500236621208 6.17829182427459 0.00168349282070581 0.197204939716713
RP11-546B8.6 -1.50428196991479 6.67008570507962 0.00169761799143073 0.197601578243453
SLC38A4 -3.07845696485111 -3.39638696100934 0.00170867905303181 0.197601578243453
AC016991.1 -1.50667294827397 3.57792752933083 0.00171939251902643 0.197601578243453
VDAC3 -1.50454445357857 5.29333701952841 0.00173204394882239 0.197601578243453
MYL10 -1.5282172764314 5.3525187877062 0.00175396615288705 0.197601578243453
ZNF518A -1.51429665531725 7.53684078157395 0.00176865144901857 0.197601578243453
ARHGEF19 1.51295981459667 5.95944717388191 0.00178611992608284 0.197601578243453
OTOG -1.5074124927303 5.6460941701736 0.00179046566582686 0.197601578243453
KAZN -1.59347783271539 3.53741367870131 0.00179173458208252 0.197601578243453
STK25 -1.54049114964717 5.2133452802955 0.00179529828546587 0.197601578243453
CECR6 -1.48897236111931 6.52993606435392 0.00181312025264744 0.197601578243453
SIGLEC1 -1.51773951440507 5.6678322689512 0.00181830464312766 0.197601578243453
ROPN1 -1.50182926477171 6.85635852561441 0.00182761728065265 0.197601578243453
SEL1L2 1.52890524346592 2.92928386962964 0.00183484039092914 0.197601578243453
FGF11 -1.53472414122196 3.37798786921342 0.00183485065914244 0.197601578243453
IGF2BP2 -1.50869909198151 5.80138450817072 0.00188188401314759 0.200565142017271
UBE3C -1.51363682128225 7.57311991281051 0.00188239462329624 0.200565142017271
TPPP2 -1.48514706498437 4.98520900895708 0.00198310754033802 0.210177921378364
NECTIN2 -1.5002593143639 3.32126514364654 0.00203418119872971 0.213758135084847
KRIT1 -1.49105282442312 4.78683738376523 0.00203823093211551 0.213758135084847
LAMB4 -1.69871165077588 -1.0596032080431 0.00205450097004636 0.214342234015618
DHX16 -1.55654269220036 7.03377604156696 0.00206762077085572 0.214593324668451
C11orf74 -1.5343789726491 1.86971930598153 0.00208391381894708 0.21516947271819
PRKD1 -1.48084186283633 6.2849688775575 0.00212458021700786 0.21686988391766
TMED2 -1.56104527296699 4.6926546584721 0.00215619882007007 0.21686988391766
SSX4 -1.46260826148155 5.51079368320801 0.00215978242774573 0.21686988391766
ASB16 -1.47236001294823 6.8334638762881 0.00216432043920834 0.21686988391766
ZC3H12B -1.46525239702261 6.59682130743057 0.00218393317586493 0.21686988391766
TMEM249 -1.4924636039362 4.56569705992075 0.00219211395588775 0.21686988391766
RHBDF1 -1.46215960760785 5.6963154653696 0.00219308060818704 0.21686988391766
ZCCHC7 -1.48651047327373 6.29472242610504 0.00219605899720712 0.21686988391766
MBD3 -1.48236934057606 4.91323638852188 0.00220773591800581 0.21686988391766
C11orf42 -1.47360329758958 4.11460399044881 0.00220875716301819 0.21686988391766
PKP2 -1.51558090433068 4.54627604314785 0.00223076197561891 0.21686988391766
LARP1B 1.53772415791086 2.32938298587448 0.00223564593331419 0.21686988391766
AP000769.1 -1.47301121158491 4.95713242158738 0.00225319742970782 0.21686988391766
APC -1.50309045475317 2.9303969805754 0.00225498793794002 0.21686988391766
UBA7 -1.51039832786918 2.73058637655543 0.00226278297333088 0.21686988391766
ACOT7 -1.45948525965239 6.0055725295477 0.00227509277753234 0.217011349651192
HEPHL1 -1.52102741892047 4.80441309377013 0.00231519438242023 0.2192733921245
CXCL10 -1.48822956586889 8.30047240068263 0.00233557678051211 0.2192733921245
IGF1R -1.45835382769985 6.26143587669644 0.00234024881724777 0.2192733921245
CBY3 -1.54106607094231 1.37920159362857 0.00236112281898175 0.2192733921245
SLC41A3 -1.46354748827972 4.33132736405588 0.00236320465721284 0.2192733921245
GGT1 -1.44323695320615 5.498955881021 0.00236448767904208 0.2192733921245
KRTCAP2 -1.46720225328589 5.17050460995105 0.00240317044211353 0.220649081886252
CKAP2L -1.51139354871587 4.34065953771084 0.00240657135836245 0.220649081886252
RP11-382A20.3 -1.46773478701642 5.04713209514971 0.00242742510366216 0.220649081886252
MED23 -1.45657080224159 5.1721292338019 0.00243000267519011 0.220649081886252
TMEM262 -1.44859682880273 5.14139853883065 0.00244558646044175 0.220649081886252
OR5T3 -1.45512332815256 4.8840206909751 0.00245822943910178 0.220649081886252
DRAXIN -1.51174117829471 1.36982634579145 0.00247383504611509 0.220649081886252
FAM124A -1.69727392908028 -1.29708625076564 0.00248017353023898 0.220649081886252
GCNT7 -1.44242647513798 5.34303680106589 0.00248163225511317 0.220649081886252
SLC16A11 -1.48015826781016 3.6367447445664 0.00249009860506449 0.220649081886252
STX16-NPEPL1 -1.48339591612661 4.98026309930501 0.00250605923215243 0.220649081886252
MAP2K1 -1.4517911267168 4.73763566421789 0.00251150669812118 0.220649081886252
EDDM3B -1.48336812022534 6.44294430120121 0.00255814073260076 0.223764703121073
KIF25 -1.46396889928399 4.58580416995243 0.00262022403874591 0.22819872921791
C2CD2L -1.44807827355166 6.16030042460777 0.00267510692209242 0.230744866026742
AC007906.1 -1.44452082239621 4.43914416605894 0.00268096663232304 0.230744866026742
LRRIQ4 -1.46454293017007 4.78952790411297 0.00268939325725376 0.230744866026742
IFNLR1 -1.47121303717787 3.80678699297309 0.00272053763753682 0.230744866026742
FAM221B -1.46128549992483 6.37267404185248 0.00276514935315916 0.230744866026742
PLAC8L1 -1.49737958667416 2.14672335314145 0.00277527292193811 0.230744866026742
ZNF85 -1.45572911543201 5.30541525787553 0.00277833713654019 0.230744866026742
SLAMF1 -1.4562651541716 4.54357536613556 0.00278104427492668 0.230744866026742
ZNF140 -1.46462145349674 5.62856184773932 0.00278487024917198 0.230744866026742
ABAT -1.44619396466097 6.26995290367521 0.00279821036211595 0.230744866026742
POMP -1.47501615549462 7.28733062019967 0.00280417346799492 0.230744866026742
PROS1 -1.48987829198013 4.40942752038664 0.00280564479213546 0.230744866026742
PRR18 -1.45504798022444 4.30787219561235 0.00281368756096423 0.230744866026742
CA9 -1.44370157503145 7.0243905856902 0.00282309315370138 0.230744866026742
PLAC9 -1.45191005311041 6.94579561688094 0.00283027048140104 0.230744866026742
NIT2 -1.42663583533717 5.0407894984897 0.0028349731987184 0.230744866026742
SRM -1.4452702492069 4.61372283244664 0.00284528889763892 0.230744866026742
CASC10 -1.42784652009504 5.27578531165154 0.00286358236696192 0.231292009647638
LETMD1 -1.46741711666299 2.83438361311101 0.00288836380971898 0.231456665294609
SREK1 -1.44597029232278 6.8930601781669 0.00288873078346824 0.231456665294609
SMAD7 -1.43580892286186 5.57266528705339 0.0029004578003974 0.231470399202232
MS4A1 -1.43027457050647 7.03088944866095 0.00292122506243675 0.231813741215695
FHIT -1.42168315463252 5.036241495444 0.00292790557274079 0.231813741215695
WEE2 -1.43970324211922 5.18517075383355 0.00295130700507002 0.232746577238416
NRG4 -1.45546101984965 4.93027549122072 0.00296542018256244 0.232930340139131
SSFA2 -1.4329128210465 6.24915052921781 0.00297689416782076 0.232930340139131
HSD3B2 -1.48730026259518 2.20097345659117 0.00300274857166038 0.234039130890775
TBX4 -1.64066559849266 -1.06973967664909 0.00304307822291411 0.236263177841831
CDKL1 -1.4038311003931 5.62623433424182 0.00310721622763925 0.240311383227188
PRPF6 -1.40518236765942 5.34783613835163 0.00314568802532942 0.242351064751437
KHDRBS3 -1.42423654631764 6.15173142658025 0.00317008156961112 0.242933173552709
OXLD1 -1.54257995401894 1.60808409955391 0.00317749944939393 0.242933173552709
SESN1 -1.40788321492854 5.19890468631864 0.00323366771541055 0.244750902265463
SMOC2 -1.44104967970182 3.52347049303895 0.00323988842447125 0.244750902265463
RP3-461F17.3 -1.49997209489979 2.50246025208153 0.00324622236582435 0.244750902265463
SH2B1 -1.41084369271333 5.02726376184271 0.00326313624222508 0.244750902265463
UBE2M -1.44583417935961 5.87576499455903 0.00327262111199802 0.244750902265463
POP1 -1.39855661698309 5.66911316865357 0.0032899939970205 0.244750902265463
ELF2 -1.42790987429956 2.47863982675011 0.00329831638070306 0.244750902265463
RNF115 -1.45531688228223 5.20626222858991 0.00329902369385827 0.244750902265463
GMPS -1.41337544180299 5.6499133447391 0.00333279728312217 0.246344141617049
ZFAT -1.4411986661744 2.15804620581171 0.00335751210710832 0.247258547858407
DENND1C -1.47349491966742 4.61692435192176 0.00337186987787218 0.247406320599479
ADAMTSL5 -1.39704204483072 5.48907857931011 0.00340408278784637 0.247879862234846
NPFF -1.44191958719619 4.21932650390485 0.00341452228969629 0.247879862234846
MAEL -1.44616059910328 4.50339678575319 0.00341544815420186 0.247879862234846
MSLNL -1.41663435211704 5.82682747414446 0.00343264205335344 0.248228350074811
SEC31A -1.42265251622739 2.29457678995762 0.003448020582225 0.248443526196219
ASB13 -1.39968514959424 4.42173604797513 0.00346845072802737 0.248890301054872
TMEM102 -1.42838787222411 2.77498192254038 0.0034868439313055 0.248890301054872
SUV39H1 1.39236943294894 5.70153993603473 0.00349149690961105 0.248890301054872
ANLN -1.38539236993855 5.52087147047622 0.00350532062400132 0.248989636238903
TFEC -1.41097912986831 4.14561202441607 0.00353272817145226 0.250049745591379
SETD7 -1.40406806013478 5.90411750237725 0.00355063047762603 0.250391597885366
CCDC129 -1.39951416844659 5.66423921353495 0.00356633583175551 0.250391597885366
FAM122A -1.38958030158037 6.20717760628897 0.00357865892541878 0.250391597885366
PFKFB1 -1.42483494337088 1.82187863367613 0.00358755871364884 0.250391597885366
ARHGEF5 -1.42214229223115 6.11385121451358 0.0036303213091925 0.252308077397013
BCL2L14 -1.45694666873986 4.62447549093162 0.00365156904401661 0.252308077397013
LINGO4 -1.3956502805197 3.71273692017302 0.00366442050231525 0.252308077397013
GOPC -1.4619009953484 1.088838121513 0.00366540115433731 0.252308077397013
USP17L5 -1.44380831009856 6.70557161544436 0.00369180860510567 0.253255541674218
PRPS2 -1.40598766673778 6.79151179059085 0.00370695934729819 0.253426971623652
C2orf70 -1.40444851140989 6.86517523255374 0.0037535804592899 0.254390357860028
SLC2A4 -1.38961214318382 5.96582733930264 0.00377865423925888 0.254390357860028
CRACR2A -1.39157009319349 5.55557779995225 0.0038002322454927 0.254390357860028
SLC6A7 -1.48973367313516 0.743281744943364 0.00382817110917072 0.254390357860028
GRIP1 -1.41646278885646 4.43398722792763 0.00382985623056906 0.254390357860028
SMO -1.42912891263536 3.24383710851291 0.00383802597563459 0.254390357860028
NUBP2 -1.43783788935221 2.9656827256899 0.00384126779491102 0.254390357860028
EXOC3 -1.37015008015311 5.3396482003324 0.00387764913836993 0.254390357860028
DMAP1 -1.44881109238146 5.57268254028685 0.00388642500791732 0.254390357860028
LEPR -1.37097909152249 5.49943639732291 0.00389303780355439 0.254390357860028
UGT1A7 -1.39160654708074 4.65323455445171 0.00390292270430299 0.254390357860028
LHFPL5 1.40341377762545 4.68900745306941 0.00390713191820543 0.254390357860028
ARID4B -1.39526887716112 6.66684200608999 0.00390769379406989 0.254390357860028
C10orf105 -1.39083304579136 6.81672268758144 0.00391811134790595 0.254390357860028
FAM109B -1.41197467341914 2.53159830939386 0.00392113382843554 0.254390357860028
DHX40 -1.37422431052882 6.02148690591205 0.00392424844384946 0.254390357860028
TMEM42 -1.43498430396868 2.53763128423614 0.00394278862783216 0.254767738722922
CCDC61 -1.38144777753308 3.69546912570156 0.00396721165137017 0.255521596747897
ZNF787 -1.39813708568505 6.80559961142289 0.00400096142913185 0.25686941790686
TEC -1.40531795618692 4.33475187920184 0.00406257449191234 0.25999178801117
ZBED6CL -1.37808179162261 4.93416798211737 0.00409695278611241 0.261356882989228
ZNF594 -1.39276787902497 2.7586712206409 0.00411276638721097 0.26153277302293
UROS -1.35379865879737 5.29193478828332 0.00414787901983317 0.262930900779362
ZBTB44 -1.36834053557844 6.95983590692989 0.00417447648565956 0.263487738898977
TMEM64 -1.39016247935368 6.37907301333841 0.00419328403533075 0.263487738898977
CORO7 -1.38961314822392 3.13456513192812 0.00420652007403487 0.263487738898977
PPP6R1 -1.37049015288475 3.58114347695095 0.00420927943925279 0.263487738898977
IGLL1 -1.42266944783278 4.79959913247387 0.00422864919393529 0.263875613718747
GIT1 -1.5174246802165 -0.555043577565171 0.00424217593139027 0.263897596526952
NGLY1 -1.37392518602741 4.60966879129308 0.00430628570960535 0.266040623798441
ZBTB45 -1.42238558349251 0.818189850661016 0.00431949298492761 0.266040623798441
POU3F4 -1.39995415850805 4.75032415258606 0.0043359792449473 0.266040623798441
PIGL -1.40171883683965 7.42264714773625 0.00435135056630169 0.266040623798441
ERLIN1 -1.38295041150593 3.84735735569201 0.00435700750174225 0.266040623798441
PXT1 -1.36623566905124 5.52835375579189 0.00436624686622596 0.266040623798441
EYS -1.42868193102827 4.01005511526316 0.00438020374227988 0.266040623798441
TLX2 -1.3679464199784 5.60902049828588 0.00438287683358223 0.266040623798441
GPR82 -1.4311102861982 5.6222687517631 0.00441268794472293 0.267040943265091
IL1A -1.36116823404619 4.18836585132612 0.0044374120203889 0.267728313796416
MS4A4A -1.36261930907551 3.55141395809564 0.00449633263957714 0.269646124302421
TMEM222 -1.36057733595407 6.50522772340004 0.00449736045816389 0.269646124302421
HTR1E -1.41813274239026 1.06441084761991 0.00450958272883586 0.269646124302421
CCT6A -1.36535300852248 7.19583209380449 0.00452759860055981 0.269864169983416
DTNB -1.36326471619852 7.44999830413239 0.00454017399452903 0.269864169983416
RAB2B -1.38383092586451 3.73903117049043 0.00459379849582297 0.270932834889914
WDR49 -1.35883470693094 6.33651331390205 0.00460287449273355 0.270932834889914
ZBTB3 -1.36238680345465 5.73104395670461 0.00460690503227401 0.270932834889914
GCKR -1.3650044628165 4.10295099777388 0.00461225583832362 0.270932834889914
GPR52 -1.41228098440223 6.24538371649509 0.00468977039339052 0.274209452918258
CDK10 -1.37227985826525 4.95796742893513 0.0046954142254986 0.274209452918258
C9orf24 -1.33206768875216 5.34951828709645 0.00471538344092724 0.274267177392036
ANAPC15 1.36364918097364 4.88647755036972 0.00472378694025523 0.274267177392036
